Event id,Restaurant id,Restaurant name,Photo url,Event title,Event start date,Event end date
119563,18037817,Qubitos - The Terrace Cafe,['https://b.zmtcdn.com/data/zomato_events/photos/4ba/f3b41dc8dba54cff2c2efac70103b4ba_1491898937.jpg'],Live Fusion Night with Suboni Brothers,2017-04-16,2017-04-17
120517,18037817,Qubitos - The Terrace Cafe,NA,"Raenit Singh Ft. Sarvagya The Band, Qubitos",2017-04-19,2017-04-20
100228,307490,Summer House Cafe,['https://b.zmtcdn.com/data/zomato_events/photos/399/87b08a14dc80dfdc86a690fd44700399_1484156059.jpg'],SALSA NIGHT,2017-04-16,2017-04-17
100212,307490,Summer House Cafe,['https://b.zmtcdn.com/data/zomato_events/photos/72e/683eb071710b22f4d08e21ce201fc72e_1484152606.jpg'],Karaoke Night,2017-04-17,2017-04-18
107961,307490,Summer House Cafe,['https://b.zmtcdn.com/data/zomato_events/photos/91a/c303c2d4121e612349b754d12805a91a_1487158257.jpg'],COMEDY NIGHT,2017-04-18,2017-04-19
120172,307490,Summer House Cafe,['https://b.zmtcdn.com/data/zomato_events/photos/c5a/65d3c4551287380ddadbb285581f3c5a_1492087484.jpg'],BoxoutWednesdays #007 w/ bj&oslash;rn torske &amp; moniker,2017-04-19,2017-04-20
118767,303960,Manhattan Brewery & Bar Exchange,['https://b.zmtcdn.com/data/zomato_events/photos/2c2/b78eeb95471c716ba05b22e3173bb2c2_1491560503.jpg'],Bollywood Night With Raftaar,2017-04-22,2017-04-23
119866,18279449,HotMess,['https://b.zmtcdn.com/data/zomato_events/photos/b15/63cd3eeaaf57082ec2648b7f72842b15_1491988151.jpg'],Acoustic Sunday Sessions With The Rush Band,2017-04-16,2017-04-16
120340,24530,Santa's Fantasea,['https://b.zmtcdn.com/data/zomato_events/photos/c97/0acbfc5d704de9366ec9a24dfab35c97_1492162740.jpg'],OPENING SOON NEAR YOU!,2017-04-14,2017-04-28
117303,18435740,38 Degree East,NA,SHOT SLURP WEEKEND ,2017-04-15,2017-04-16
120525,17806994,Mirchi And Mime,['https://b.zmtcdn.com/data/zomato_events/photos/6ca/daab864e54d17e944f0d53111250a6ca_1492260405.jpg'],Easter special Sunday,2017-04-16,2017-04-16
120501,18447068,Cafe Hydro,NA,Carnival pet show ,2017-04-16,2017-04-16
117784,58882,Big Brewsky,"['https://b.zmtcdn.com/data/zomato_events/photos/756/d28654c3d6b76e93c29541eef5fa4756_1491299580.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/0aa/67331ca80074037e0e802259baa9c0aa_1491543143.png']",Turn the Tables - Set Menu @ Rs.1200,2017-04-07,2017-04-16
119742,58882,Big Brewsky,['https://b.zmtcdn.com/data/zomato_events/photos/2a2/919c2ec6a1b0fa084c8eeef7812c42a2_1491942579.jpg'],Big Brewsky presents: Woodstock Sessions 03 feat. DJ TT,2017-04-16,2017-04-16
119302,18385443,Koramangala Social,['https://b.zmtcdn.com/data/zomato_events/photos/e54/6ae9864167b44667d7011f41af8e4e54_1491814492.jpg'],#LBW,2017-04-10,2017-04-30
117050,18385443,Koramangala Social,['https://b.zmtcdn.com/data/zomato_events/photos/bd3/251e9898f7013f6b55b9ae27e6bccbd3_1490949686.jpg'],PaperMoon at #KoramangalaSocial,2017-04-16,2017-04-16
120329,18385443,Koramangala Social,['https://b.zmtcdn.com/data/zomato_events/photos/858/5240c819130fb0eb85c71c45d93a1858_1492159808.jpg'],Mixtape presents: SOUL City feat. Bjorn Torske &amp; Robby Banner,2017-04-21,2017-04-22
120333,18385443,Koramangala Social,['https://b.zmtcdn.com/data/zomato_events/photos/2cb/3d055d8340995e25a86db0de6d83d2cb_1492160096.jpg'],Social #Survival: Board Games with ReRoll,2017-04-22,2017-04-22
119350,18422898,Hoot,['https://b.zmtcdn.com/data/zomato_events/photos/ccf/25e65a3670a647886fb0f7288e8a6ccf_1491821772.jpg'],Carnivale De&#039; Hoot,2017-04-16,2017-04-16
117963,50943,Sultans of Spice,"['https://b.zmtcdn.com/data/zomato_events/photos/a60/aec0342b17cf2aad14d67e5d3d779a60_1491847008.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/165/c625d3ed28ba6422262d1f63d0c33165_1491847009.jpg']",&quot;SUMMER SPECIALS&quot; at SULTANS OF SPICE,2017-04-02,2017-04-16
117835,54162,The Black Pearl,"['https://b.zmtcdn.com/data/zomato_events/photos/756/d28654c3d6b76e93c29541eef5fa4756_1491301163.jpg', 'https://b.zmtcdn.com/data/zomato_events/photos/bc6/8d784aa20ae1458c5f01a4884f46cbc6_1491543648.png']",Turn The Tables - Set Menu @ Rs.1000,2017-04-07,2017-04-16
120116,18354483,Farzi Cafe,['https://b.zmtcdn.com/data/zomato_events/photos/7c6/c6e1ff71c8e912beaae5b855ea5127c6_1492076404.png'],Prateek Bhaduri Live at Farzi Cafe,2017-04-19,2017-04-19
120370,18354483,Farzi Cafe,NA,Prateek Bhaduri Live at Farzi Cafe,2017-04-19,2017-04-19
118793,6508323,The Urban Foundry,['https://b.zmtcdn.com/data/zomato_events/photos/382/15cef9ec36cb57477753e84925803382_1491563602.jpg'],SOULFUL SUNDAYS,2017-04-16,2017-04-16
118662,6504409,Effingut Brewerkz,['https://b.zmtcdn.com/data/zomato_events/photos/564/d0c4aa16d079a8b0372ba17d9ccc5564_1492245957.jpg'],Sunday Grill,2017-04-16,2017-04-16
